surname,team,position,minutes,shots,passes,tackles,saves,number of passes per minute played,,,,,Which team has the highest average number of passes per minute played,
Lucio,Brazil,defender,450,1,223,14,0,0.50,,,,,,
Riveros,Paraguay,midfielder,480,5,236,22,0,0.49,,,,,,
Katsouranis,Greece,midfielder,234,2,115,4,0,0.49,,,,,,
Burdisso,Argentina,defender,341,1,167,1,0,0.49,,,,,,
Da Silva,Paraguay,defender,480,1,235,11,0,0.49,,,,,,
Quagliarella,Italy,forward,45,3,22,2,0,0.49,,,,,,
Ayila Yussuf,Nigeria,midfielder,90,0,44,1,0,0.49,,,,,,
Caniza,Paraguay,defender,90,4,44,1,0,0.49,,,,,,
Pantsil,Ghana,defender,510,2,248,7,0,0.49,,,,,,
Glen Johnson,England,defender,357,3,173,17,0,0.48,,,,,,
Demichelis,Argentina,defender,450,1,218,7,0,0.48,,,,,,
Gargano,Uruguay,midfielder,91,0,44,1,0,0.48,,,,,,
Salcido,Mexico,defender,360,9,174,15,0,0.48,,,,,,
Radosavljevic,Slovenia,midfielder,267,1,129,6,0,0.48,,,,,,
Salata,Slovakia,defender,83,1,40,2,0,0.48,,,,,,
Kuyt,Netherlands,forward,516,11,248,7,0,0.48,,,,,,
Carvalho,Portugal,defender,360,2,173,11,0,0.48,,,,,,
Caceres,Paraguay,midfielder,354,1,170,17,0,0.48,,,,,,
Heitinga,Netherlands,defender,540,0,259,10,0,0.48,,,,,,
Geremi,Cameroon,defender,195,1,93,1,0,0.48,,,,,,
Puyol,Spain,defender,534,3,254,8,0,0.48,,,,,,
Masilela,South Africa,defender,225,0,107,6,0,0.48,,,,,,
Marchisio,Italy,midfielder,120,0,57,2,0,0.48,,,,,,
Van der Vaart,Netherlands,midfielder,257,8,122,4,0,0.47,,,,,,
Boateng,Ghana,midfielder,464,12,220,20,0,0.47,,,,,,
Zambrotta,Italy,defender,270,2,128,6,0,0.47,,,,,,
Guedioura,Algeria,midfielder,38,0,18,1,0,0.47,,,,,,
Subotic,Serbia,defender,104,0,49,3,0,0.47,,,,,,
Ninis,Greece,midfielder,47,1,22,4,0,0.47,,,,,,
Meireles,Portugal,midfielder,329,6,154,9,0,0.47,,,,,,
Jensen,Denmark,midfielder,45,0,21,2,0,0.47,,,,,,
Maggio,Italy,defender,45,0,21,1,0,0.47,,,,,,
Obradovic,Serbia,defender,90,1,42,2,0,0.47,,,,,,
Fernandez,Chile,midfielder,155,1,72,2,0,0.46,,,,,,
Yakin,Switzerland,midfielder,56,3,26,0,0,0.46,,,,,,
